Record_id,Date,Time,Transaction,Product
1,10/30/2016,9:58:11,1,Bread
2,10/30/2016,10:05:34,2,Scandinavian
3,10/30/2016,10:05:34,2,Scandinavian
4,10/30/2016,10:07:57,3,Hot chocolate
5,10/30/2016,10:07:57,3,Jam
6,10/30/2016,10:07:57,3,Cookies
7,10/30/2016,10:08:41,4,Muffin
8,10/30/2016,10:13:03,5,Coffee
9,10/30/2016,10:13:03,5,Pastry
10,10/30/2016,10:13:03,5,Bread
11,10/30/2016,10:16:55,6,Medialuna
12,10/30/2016,10:16:55,6,Pastry
13,10/30/2016,10:16:55,6,Muffin
14,10/30/2016,10:19:12,7,Medialuna
15,10/30/2016,10:19:12,7,Pastry
16,10/30/2016,10:19:12,7,Coffee
17,10/30/2016,10:19:12,7,Tea
18,10/30/2016,10:20:51,8,Pastry
19,10/30/2016,10:20:51,8,Bread
20,10/30/2016,10:21:59,9,Bread
21,10/30/2016,10:21:59,9,Muffin
22,10/30/2016,10:25:58,10,Scandinavian
23,10/30/2016,10:25:58,10,Medialuna
24,10/30/2016,10:27:21,11,Bread
25,10/30/2016,10:27:21,11,Medialuna
26,10/30/2016,10:27:21,11,Bread
27,10/30/2016,10:27:21,11,NONE
28,10/30/2016,10:30:14,12,Jam
29,10/30/2016,10:30:14,12,Coffee
30,10/30/2016,10:30:14,12,Tartine
31,10/30/2016,10:30:14,12,Pastry
32,10/30/2016,10:30:14,12,Tea
33,10/30/2016,10:31:24,13,Basket
34,10/30/2016,10:31:24,13,Bread
35,10/30/2016,10:31:24,13,Coffee
36,10/30/2016,10:32:46,14,Bread
37,10/30/2016,10:32:46,14,Medialuna
38,10/30/2016,10:32:46,14,Pastry
39,10/30/2016,10:34:36,15,NONE
40,10/30/2016,10:34:36,15,NONE
41,10/30/2016,10:34:36,15,Mineral water
42,10/30/2016,10:34:36,15,Scandinavian
43,10/30/2016,10:37:08,16,Bread
44,10/30/2016,10:37:08,16,Medialuna
45,10/30/2016,10:37:08,16,Coffee
46,10/30/2016,10:38:04,17,Hot chocolate
47,10/30/2016,10:41:56,18,Farm House
48,10/30/2016,10:43:08,19,Farm House
49,10/30/2016,10:43:08,19,Bread
50,10/30/2016,10:45:22,20,Bread
51,10/30/2016,10:45:22,20,Medialuna
52,10/30/2016,10:49:29,21,Coffee
53,10/30/2016,10:49:29,21,Coffee
54,10/30/2016,10:49:29,21,Medialuna
55,10/30/2016,10:49:29,21,Bread
56,10/30/2016,10:52:15,22,Jam
57,10/30/2016,10:53:49,23,Scandinavian
58,10/30/2016,10:53:49,23,Muffin
59,10/30/2016,10:54:33,24,Bread
60,10/30/2016,10:55:22,25,Scandinavian
61,10/30/2016,10:56:08,26,Fudge
62,10/30/2016,11:02:19,27,Scandinavian
63,10/30/2016,11:03:24,28,Coffee
64,10/30/2016,11:03:24,28,Bread
65,10/30/2016,11:05:30,29,Bread
66,10/30/2016,11:05:30,29,Jam
67,10/30/2016,11:05:30,29,NONE
68,10/30/2016,11:07:19,30,Bread
69,10/30/2016,11:12:56,31,Basket
70,10/30/2016,11:16:15,32,Scandinavian
71,10/30/2016,11:16:15,32,Muffin
72,10/30/2016,11:22:49,33,Coffee
73,10/30/2016,11:25:45,34,Coffee
74,10/30/2016,11:25:45,34,Muffin
75,10/30/2016,11:27:34,35,Muffin
76,10/30/2016,11:27:34,35,Scandinavian
77,10/30/2016,11:33:08,36,Tea
78,10/30/2016,11:33:08,36,Bread
79,10/30/2016,11:37:10,37,Coffee
80,10/30/2016,11:37:10,37,Bread
81,10/30/2016,11:37:10,37,NONE
82,10/30/2016,11:42:40,38,Bread
83,10/30/2016,11:42:40,38,Tea
84,10/30/2016,11:44:31,39,Scandinavian
85,10/30/2016,11:55:51,40,Juice
86,10/30/2016,11:55:51,40,NONE
87,10/30/2016,11:55:51,40,Tartine
88,10/30/2016,11:55:51,40,Coffee
89,10/30/2016,11:55:51,40,Muffin
90,10/30/2016,11:57:06,41,Scandinavian
91,10/30/2016,11:57:45,42,Bread
92,10/30/2016,11:57:45,42,Tea
93,10/30/2016,12:00:22,43,Scandinavian
94,10/30/2016,12:00:22,43,Fudge
95,10/30/2016,12:05:47,44,Coffee
96,10/30/2016,12:05:47,44,Medialuna
97,10/30/2016,12:08:36,45,Coffee
98,10/30/2016,12:08:36,45,Hot chocolate
99,10/30/2016,12:08:36,45,Medialuna
100,10/30/2016,12:09:04,46,Coffee
101,10/30/2016,12:15:29,47,Ella's Kitchen Pouches
102,10/30/2016,12:15:29,47,Juice
103,10/30/2016,12:15:29,47,Bread
104,10/30/2016,12:15:29,47,Muffin
105,10/30/2016,12:15:29,47,Jam
106,10/30/2016,12:17:02,48,Coffee
107,10/30/2016,12:23:01,49,Coffee
108,10/30/2016,12:23:01,49,Coffee
109,10/30/2016,12:23:01,49,Medialuna
110,10/30/2016,12:25:11,50,Bread
111,10/30/2016,12:25:11,50,Victorian Sponge
112,10/30/2016,12:26:58,51,Bread
113,10/30/2016,12:28:07,52,Scandinavian
114,10/30/2016,12:33:08,54,Bread
